Title: 以去核或除籽装置为特征的水果去核或去除含籽部分的机械（用于水 果去皮和去除含籽部分的入A23N7/08，家用去果核装置入A47J23/00， 去果芯的入A47J25/00）

Code: A23N4/00

========================================

A23N4/02 用于去果核的

A23N4/04 用于桃、李、杏或其同类物

A23N4/06 用于樱桃或其同类物（A23N4/04优先）

A23N4/08 用于枣、橄榄或其同类长椭圆形水果的

A23N4/10 用于有非常小的籽的水果的，例如葡萄干

A23N4/12 用于去果芯的

A23N4/14 用于苹果、梨或其同类物

A23N4/16 用于蕃茄或其同类物

A23N4/18 用于柑橘类水果的

A23N4/20 用于菠萝的

A23N4/22 劈开和去核两用的

A23N4/24 用于从切开水果去除含籽部分的

