Title: 材料的形成，例如以层或柱的形

Code: H10P14/00

========================================

H10P14/20 半导体材料

H10P14/22 使用物理沉积，例如真空沉积或溅

H10P14/24 使用化学气相沉积[CVD

H10P14/26 使用液相沉

H10P14/40 导电或电阻材

H10P14/42 使用气体或蒸

H10P14/43 化学沉积，例如化学气相沉积[CVD

H10P14/44 物理气相沉积[PVD

H10P14/45 溅射

H10P14/46 使用液体

H10P14/47 电解沉积，即电镀；化学

H10P14/60 绝缘材料

H10P14/61 使用掩膜

H10P14/68 有机材料，例如光致抗蚀剂

H10P14/69 无机材料

H10P14/692 由氧化物、玻璃状氧化物或氧化物基玻璃组成

H10P14/694 由氮化物组成

