Title: 具有用于隔离的可拉出的台车的开关装置

Code: H02B11/00

========================================

H02B11/02 零部件

H02B11/04 隔离触点，例如安装、屏蔽

H02B11/06 用于双重母线选择的装置

H02B11/08 与拉引机构相结合降低油箱的位置

H02B11/10 指示开关装置的电气情况，测试用插座的配置

H02B11/12 水平拉引隔离的

H02B11/127 拉引机构

H02B11/133 带有互锁的

H02B11/167 手车型的（H02B11/127优先）

H02B11/173 抽屉型的（H02B11/127优先）

H02B11/18 垂直拉引隔离的

H02B11/20 有外罩的

H02B11/22 隔离后水平拉动，外罩的前部与台车一起移动的

H02B11/24 护板或防护装置

H02B11/26 熔断器、电阻器、过压保护装置或类似装置的设备

H02B11/28 接地装置

