Title: 刷毛固定或连接在刷体或托架之上或之内的刷类

Code: A46B3/00

========================================

A46B3/02 用沥青、树脂、水泥或其他黏合剂

A46B3/04 用可模制的材料，例如金属、纤维素衍生物、塑料（A46B1/00优先）

A46B3/06 与由金属丝或塑性材料制成的刷毛焊接在一起的

A46B3/08 夹起来的

A46B3/10 夹入环形或类似物的

A46B3/12 油漆刷专用的

A46B3/14 专用于扫街道或扫铁轨的扫帚

A46B3/16 用金属丝或其他固定装置制成的，专门适用于U形刷毛族

A46B3/18 刷毛固定在带或金属丝上或固定在其间

A46B3/20 刷毛固定在或连接入橡胶体，例如软橡胶

A46B3/22 橡胶刷毛固定入或固定在刷体上

