Title: 利用压电效应、电致伸缩或磁致伸缩的电动机或发电机（一般产生机械振动的装置入 B06B；压电的、电致伸缩的或磁致伸缩的器件一般入H10N30/00，H10N35/00）

Code: H02N2/00

========================================

H02N2/02 产生直线运动的，例如致动器；直线定位器

H02N2/04 结构零部件

H02N2/06 驱动电路；控制装置

H02N2/08 利用行波的，例如直线电动机

H02N2/10 产生旋转运动的，例如旋转电动机

H02N2/12 结构零部件

H02N2/14 驱动电路；控制装置

H02N2/16 利用行波的

H02N2/18 从机械输入产生电输出的，例如发电机（用于测量装置的入G01）

