Title: 其他直接接触热交换设备

Code: F28C3/00

========================================

F28C3/02 两种热交换介质均为气体或蒸气的

F28C3/04 两种热交换介质均为液体的

F28C3/06 热交换介质为一种液体和一种气体或蒸气的（冷却水蒸气用的调温器入F22）

F28C3/08 带有状态变化的，例如吸收作用、蒸发作用、冷凝作用（在压力下发生水蒸汽入F22）

F28C3/10 至少有一种热交换介质是流动的固体，例如一种颗粒状材料

F28C3/12 热交换介质是一种颗粒状材料和一种气体、蒸气或液体的

F28C3/14 利用重力而运动的颗粒状材料，例如沿管道下落的

F28C3/16 形成床的颗粒状材料，例如在振动筛上的流化床

F28C3/18 装在滚筒内的颗粒状材料

