Title: 装料；卸料；炉料控制

Code: F27D3/00

========================================

F27D3/02 重物用的滑板或轨道

F27D3/04 推杆或推料设备

F27D3/06 移动台上的装料机或卸料机

F27D3/08 螺旋输料器；螺旋卸料器

F27D3/10 直接从漏斗或溜槽进料

F27D3/12 行进式或可移式炉料支架或容器

F27D3/14 液体或熔化材料的装料或卸料

F27D3/15 排放液体装置；清除炉渣装置

F27D3/16 将流体喷射体或流束引入炉料（F27D3/18优先）

F27D3/18 利用流体载体装入粒状材料

