Title: 利用余热的装置；利用或处理废气的装置

Code: F27D17/00

========================================

F27D17/10 利用余热的装置

F27D17/12 使用储热

F27D17/13 使用再生式热交换器

F27D17/15 使用锅炉

F27D17/17 用于预热流体，例如空气或气体

F27D17/18 用于预热固体物料

F27D17/20 废气处理或净化装置

F27D17/22 用于去除固体成分

F27D17/25 使用旋风分离器

F27D17/28 用于冷却废气

F27D17/30 用于提取或收集废气的装置；用于其的罩

