Title: 井道设备

Code: B66B17/00

========================================

B66B17/02 安装在井架中的

B66B17/04 矿井提升机轿厢或罐笼

B66B17/06 具有可倾斜平台的

B66B17/08 矿井箕斗

B66B17/10 适用于运送人员的

B66B17/12 配重

B66B17/14 装载或卸载设备的应用

B66B17/16 用于给矿井提升机轿厢或罐笼装载或卸载的

B66B17/18 活动搭板，如用于补偿轿厢或罐笼与停车位置的高低差

B66B17/20 使车辆直接进出轿厢或罐笼的

B66B17/22 将车辆固定在轿厢或罐笼里的

B66B17/24 安装在轿厢或罐笼上的

B66B17/26 用于矿井箕斗的装载或卸载的

B66B17/28 电控制的

B66B17/30 用于轿厢或罐笼的

B66B17/32 用于箕斗的

B66B17/34 安全提升夹；罐座

B66B17/36 控制出入轿厢、罐笼或停车层的门或其他装置

