Title: 烟草的化学特性或处理；烟草代用品，例如，液体形式的(A24B3/00优 先)

Code: A24B15/00

========================================

A24B15/10 烟草制品或烟草代用品的化学特征

A24B15/12 再制烟草的

A24B15/14 由烟草和一种并非来自烟草的黏结剂制成

A24B15/16 烟草代用品的

A24B15/167 液体或可蒸发的形式，例如电子烟的液体成分

A24B15/18 烟草制品或烟草代用品的处理

A24B15/20 生化处理

A24B15/22 以应用电能或波能或粒子辐射

A24B15/24 应用提取；烟草萃取液

A24B15/26 应用有机溶剂的提取

A24B15/28 应用化学物质〔3〕

A24B15/30 应用有机物质

A24B15/32 应用无环化合物

A24B15/34 含有非六元芳环的碳环

A24B15/36 含有杂环

A24B15/38 只有氮作为杂原子

A24B15/40 只有氧或硫作为杂原子

A24B15/42 应用有机和无机物质

