Title: 专门适用于弹性流体的径向流体泵，例如离心泵；专门适用于弹性流体的螺旋离心泵 （F04D21/00优先）

Code: F04D17/00

========================================

F04D17/02 具有非离心级，例如向心的

F04D17/04 横流式的

F04D17/06 螺旋离心泵

F04D17/08 离心泵

F04D17/10 用于压缩或抽空

F04D17/12 多级泵

F04D17/14 带有改变通过各级的流动通路的装置，例如串联/并联波动（控制入F04D27/02）

F04D17/16 排出时不会出现明显压缩

F04D17/18 以利用泵中被输送液体的离心力为特点的

