Title: 适用于特殊用途或功能的变压器或电感器

Code: H01F38/00

========================================

H01F38/02 用于非线性工作的

H01F38/04 用于改变频率的

H01F38/06 用于改变波形的

H01F38/08 高泄漏变压器或电感器

H01F38/10 镇流器，如用于放电灯的

H01F38/12 点火装置，如用于内燃机的

H01F38/14 电感耦合

H01F38/16 级联变压器，如用于超高压的

H01F38/18 族转变压器

H01F38/20 仪用互感器

H01F38/22 用于单相交流的

H01F38/24 电压互感器

H01F38/26 结构

H01F38/28 电流互感器

H01F38/30 结构

H01F38/32 电路装置

H01F38/34 电压和电流互感器的组合

H01F38/36 结构

H01F38/38 用于多相交流的

H01F38/40 用于直流的

H01F38/42 回扫变压器

