Title: 允许后坐或返回到待发射状态的枪固定装置，例如枪摇架；枪管缓冲器或制动装置（无 后坐力枪入F41A1/08）

Code: F41A25/00

========================================

F41A25/02 液体操作系统

F41A25/04 能调整的

F41A25/06 摩擦操作系统

F41A25/08 能调整的

F41A25/10 弹性操作系统

F41A25/12 使用螺旋弹簧

F41A25/14 能调整的

F41A25/16 复合系统

F41A25/18 液压弹性系统

F41A25/20 液压气动系统

F41A25/22 用于往复式枪固定或枪管移动的轴承装置

F41A25/24 使用球轴承或滚珠轴承

F41A25/26 组合的或可拆卸后坐部件或装置

