Title: 抓弹钩，即至少部分地把子弹或弹壳拉出弹膛的装置；推弹器，即把拉出的子弹或弹壳 抛出枪外的装置（F41A9/54优先）

Code: F41A15/00

========================================

F41A15/02 适用于左轮手枪类型的枪，即左轮手枪

F41A15/04 在发射时，专门适用于变形的弹壳，例如塑料制的

F41A15/06 适用于分解枪

F41A15/08 适用于闭锁动作的枪

F41A15/10 用于滑动闭锁类型的枪

F41A15/12 用于枪机动作的枪

F41A15/14 推弹器安装于枪机上或枪机内

F41A15/16 推弹器安装在闭锁机构上或枪身上

F41A15/18 适用于装有能向前滑动的枪管的枪

F41A15/20 专门适用于无壳弹药假弹

F41A15/22 抽弹工具

