Title: 非充气胎或实心轮胎（B60C1/00优先）

Code: B60C7/00

========================================

B60C7/02 由绳索或硬毛制成的

B60C7/04 由木材或皮革制成的

B60C7/06 由金属制成的

B60C7/08 由多个拱形零件组成的

B60C7/10 以增大弹性的方法为特点的

B60C7/12 用密封室的，例如充气的

B60C7/14 用弹簧的

B60C7/16 螺旋形或平卷形的

B60C7/18 相对轮轴径向配置的

B60C7/20 相对轮轴周向配置的

B60C7/22 装有不是增加弹性的嵌插件，例如装甲

B60C7/24 以轮胎在轮辋或轮体上固定的装置为特点的

B60C7/26 用螺栓的

B60C7/28 用衬带或类似件的，例如在轮胎内硫化的

