Title: 可临时安装在弹性轮胎或弹性胎车轮上的防滑装置

Code: B60C27/00

========================================

B60C27/02 仅在胎面拱形部分安装的（B60C27/20优先）

B60C27/04 接地部分是刚性的

B60C27/06 在胎面整个圆周安装的，例如由链构成的（B60C27/20优先）

B60C27/08 需要抓地齿或环承受磨损的

B60C27/10 具有张紧装置的

B60C27/12 弹性的

B60C27/14 可自动固定的

B60C27/16 密实材料，例如皮革形成的

B60C27/18 材料是织物，例如金属丝网

B60C27/20 具有板状接地构件的

B60C27/22 用于串列轮胎的

