Title: 特别适用于车装的测量、信号、控制，或分配轮胎压力或温度的装置；车上轮胎充 气装置例如气泵、贮气罐的装置；轮胎冷却装置

Code: B60C23/00

========================================

B60C23/02 靠轮胎压力作用的信号装置

B60C23/04 装在车轮或轮胎上的

B60C23/06 靠轮胎变形作用的信号装置

B60C23/08 通过与地面接触的

B60C23/10 装在车上的轮胎充气泵布置

B60C23/12 由驱动轮控制的

B60C23/14 由车辆原动机控制的

B60C23/16 装在车上的空气罐布置

B60C23/18 轮胎冷却装置

B60C23/19 用于散热的

B60C23/20 轮胎温度的测量或信号装置

