Title: 保存食用种籽，例如谷类（豆类的保存入A23B75/00）

Code: A23B9/00

========================================

A23B9/02 加热保存

A23B9/04 通过辐射或电处理

A23B9/06 通过辐射或电处理而不产生加热作用的保存

A23B9/08 干燥；其后的复原

A23B9/10 冷冻；其后的解冻；冷却

A23B9/12 冷冻后的解冻

A23B9/14 涂覆保护层；组合物或其设备

A23B9/16 用化学品保存

A23B9/18 以气体形式，例如熏蒸；组合物或其设备

A23B9/20 在受控气氛中，例如在仅包含CO2、N2、O2或H2O的不完全真空中

A23B9/22 在除含CO2、N2、O2或H2O外，还有其他气体的受控气氛中

A23B9/24 以液体或固体形式

A23B9/26 有机化合物；微生物，酶

A23B9/28 微生物；酶

A23B9/30 无机化合物

A23B9/32 利用液体进行保存的设备

A23B9/34 利用固体进行保存的设备

