Title: 其他类目不包括的飞机设计、制造、装配、清洗、维修或修理；其他类目不包括的 飞机部件的处理、运输、测试或检查

Code: B64F5/00

========================================

B64F5/10 飞机的制造或装配，例如其夹具

B64F5/20 用于飞机除冰的地面装置

B64F5/23 通过液体应用；及其喷射装置，如在车辆上

B64F5/27 通过辐射，如红外辐射

B64F5/30 飞机的清洗

B64F5/40 飞机的维修或修理

B64F5/45 修理燃料箱的泄漏

B64F5/50 飞机部件的处理或运输

B64F5/60 飞机部件或系统的测试或检查

