Title: 不包含气体电离的放电管（H01J49/00优先）

Code: H01J40/00

========================================

H01J40/02 零部件

H01J40/04 电极

H01J40/06 光电发射阴极

H01J40/08 控制放电的磁装置

H01J40/10 充气物质的选择

H01J40/12 和管子结构相结合的一个或一个以上的电路元件

H01J40/14 不作为管子特殊应用的，且未包含在其他组的电路装置

H01J40/16 有光电发射阴极的，如碱光电池（用二次发射工作的入H01J43／00）

H01J40/18 带有影响管子灵敏度的发光涂层的，如通过改变输入波长的

H01J40/20 其光线扫描光电发射屏的

