Title: 用以测定辐射或粒子的存在、强度、密度或能量的管（不包含气体电离的光电管入 H01J40/00）

Code: H01J47/00

========================================

H01J47/02 电离室

H01J47/04 电容式电离室，如其电极用作静电计的

H01J47/06 比例计数管

H01J47/08 Ceiger-Müller计数管

H01J47/10 火花计数器（H01J47/14优先；火花隙入H01T）

H01J47/12 中子检测管，如BF3管

H01J47/14 平行电极型火花室或雪崩电子流腔；线型火花室或雪崩电子流腔

H01J47/16 以每条单独线的读出为特征的

H01J47/18 读出是电气方式的（H01J47/20优先）

H01J47/20 应用电或机械延迟线读出的，如磁致伸缩延迟线

H01J47/22 以其他读出形式为特征的

H01J47/24 以音响形式读出的

H01J47/26 以光学形式读出的

