Title: 慢化剂或堆芯结构；用作慢化剂材料的选择

Code: G21C5/00

========================================

G21C5/02 零部件

G21C5/04 维格纳（Wigner）生长所用的空间布置

G21C5/06 燃料元件的定位或支承装置

G21C5/08 防止整个结构产生不希望的非对称膨胀的装置

G21C5/10 整个结构的支承装置

G21C5/12 以组成为特征，例如含有保证改善慢化剂热阻的添加物质的慢化剂

G21C5/14 以形状为特征

G21C5/16 其组成部件的形状

G21C5/18 以备有多于一放射区为特点的

G21C5/20 其中一放射区包含裂变材料，另一放射区包含增殖材料

G21C5/22 其中一放射区为过热区

