Title: 结构上和反应堆相结合的紧急保护装置（紧急冷却装置入G21C15/18）

Code: G21C9/00

========================================

G21C9/004 压力抑制

G21C9/008 用破裂盘或破裂隔膜

G21C9/012 用热累积或用蒸汽冷凝，例如，冰冷凝器

G21C9/016 堆芯捕集器

G21C9/02 故障情况下有效地迅速降低反应性要素的装置，例如反应堆可熔保险器

G21C9/027 用固体，例如卵石状，快速移动

G21C9/033 用吸收剂流体

G21C9/04 灭火装置

G21C9/06 用于防止爆炸气体累积的装置，例如，复合器

