Title: 压力容器；密封容器；一般密封

Code: G21C13/00

========================================

G21C13/02 零部件

G21C13/024 对于压力容器或密闭壳的支撑结构

G21C13/028 密封，例如，对于压力容器或密闭壳

G21C13/032 管子和容器壁之间的接合，例如考虑热应力

G21C13/036 穿过容器壁的管子，即在容器壁两端是连续的

G21C13/04 膨胀和收缩装置

G21C13/06 密封塞子

G21C13/067 对于管子，例如竖管；用于塞子的锁定器件

G21C13/073 用于反应堆容器的封闭物，例如可转动

G21C13/08 以材料特性为特征的容器；用作压力容器材料的选择

G21C13/087 金属容器

G21C13/093 混凝土容器

G21C13/10 在漏泄事件中防止污染的装置

