Title: 用于控制车辆或列车上的设备的沿线设备，如松开制动器或操纵报警信号

Code: B61L3/00

========================================

B61L3/02 在沿线选定的位置，如间歇控制

B61L3/04 机械控制的

B61L3/06 用电磁辐射或粒子辐射控制的，如用光束

B61L3/08 电力控制的

B61L3/10 利用在沿线设备和车辆或列车设备之间通过的电流

B61L3/12 利用磁感应或静电感应；利用无线电波

B61L3/14 断开电动车辆牵引马达的电源

B61L3/16 沿线路连续控制

B61L3/18 利用在沿线设备和车辆或列车设备之间通过的电流

B61L3/20 应用不同的频率或编码的脉冲组

B61L3/22 利用磁感应或静电感应；利用电磁辐射

B61L3/24 应用不同频率或编码的脉冲组

