Title: 用与车辆或列车的相互作用控制的沿线设备（响墩入B61L5/20；借车辆的通过来操 纵道岔或信号入B61L11/00，B61L13/00；由驶近的车辆操纵栏木或操纵栏木与信号 的入B61L29/18）

Code: B61L1/00

========================================

B61L1/02 与轨道相连的电气设备

B61L1/04 靠车辆部件的机械作用致动的

B61L1/06 靠轨道的变形制动的；靠轨道的振动致动的

B61L1/08 磁力致动的；静电致动的

B61L1/10 用电磁辐射致动的；靠粒子辐射致动的

B61L1/12 与架空的滑接电线相连的电气设备

B61L1/14 指示车辆或列车尾部通过的设备

B61L1/16 数轴设备；车辆计数设备

B61L1/18 铁路轨道线路（轨道接头入E01B11/00，例如绝缘轨道接头入E01B11/54）

B61L1/20 用于防止或指示设备故障的安全装置，如借助泄漏电流，借助于闪电

