Title: 用于道岔或装在轨道上的线路遮断器的就地操纵机构；视觉或听觉信号；用于视觉 或听觉信号的就地操纵机构（B61L11/00优先）

Code: B61L5/00

========================================

B61L5/02 用于操纵道岔或线路遮断器的机械设备

B61L5/04 用于操纵道岔或线路遮断器的液压设备

B61L5/06 用于操纵道岔或线路遮断器的电气设备

B61L5/08 在地下作用的装置，如用于有轨电车道

B61L5/10 用于道岔的闭锁机构；用于指示道岔位置的装置

B61L5/12 视觉信号

B61L5/14 有形信号装置，如信号臂板

B61L5/16 用于有形信号装置的就地操纵机构

B61L5/18 光信号装置；与其连接的机构，如遮板

B61L5/20 听觉信号装置，如响墩

B61L5/22 用于在某个位置上触发响墩释放器的设备

B61L5/24 响墩的更换

