Title: 台球，如连击台球或落袋台球；台球球台（弹球入A63D13/00）

Code: A63D15/00

========================================

A63D15/02 适合于放在一般桌子或类似物上的台球球台

A63D15/04 可改装成其他桌子或类似物的台球球台（改成床等入A47C17/62）

A63D15/06 球台台面边框内缘的橡皮边及其连接

A63D15/08 球杆

A63D15/10 安放球杆的器械

A63D15/12 球杆端部的连接

A63D15/14 用于使球杆端部变粗糙的装置

A63D15/16 盛白垩器皿

A63D15/20 记分或记录器具

