Title: 凸版轮转印刷机

Code: B41F5/00

========================================

B41F5/02 用于在单张纸上印刷

B41F5/04 用于在卷筒纸上印刷

B41F5/06 用按顺序排列的若干印刷机组

B41F5/08 用既重叠排列又按顺序排列的若干印刷机组

B41F5/10 用并排的若干印刷机组

B41F5/12 在同一印版与几个压印滚筒间印刷卷筒纸的一面和另外一面

B41F5/14 在印版滚筒周围排列有若干压印滚筒

B41F5/16 用于多色印刷

B41F5/18 使用一个压印滚筒与若干印版滚筒协同动作

B41F5/20 专门适用于清样印刷

B41F5/22 用于间接印刷

B41F5/24 用于苯铵印刷

