Title: 热核聚变反应堆

Code: G21B1/00

========================================

G21B1/01 混合裂变—聚合核反应堆

G21B1/03 具有惯性等离子体约束

G21B1/05 具有磁或电等离子体约束

G21B1/11 零件

G21B1/13 第一壁；覆盖物；偏滤器

G21B1/15 生产热核聚变反应器的粒子注入器，例如，小球注射器

G21B1/17 真空室；真空系统

G21B1/19 产生热核聚变反应的靶子

G21B1/21 电能供给系统，例如，用于磁系统的

G21B1/23 光学系统，例如，照射目标、加热等离子体或等离子体诊断学

G21B1/25 维护，例如，修补或细微检查

