Title: 漏斗车（可改装成漏斗车的平板车入B61D3/06）

Code: B61D7/00

========================================

B61D7/02 卸料口在底板上的（车体分成两半并使此两半倾斜来卸料的入B61D9/00）

B61D7/04 在卸料时出口高于旋转轴的水平面

B61D7/06 有可兼用于车轮间或车轮外侧卸料的卸料口的

B61D7/08 有仅能用于车轮外侧卸料的卸料口的

B61D7/10 使车底板倾斜以帮助卸料的

B61D7/12 漏斗可移动的（B61D9/00优先）

B61D7/14 使漏斗的构件适应于铁道

B61D7/16 用于卸料口的封口元件

B61D7/18 转动的

B61D7/20 滑动的

B61D7/22 其密封装置

B61D7/24 开口或封口装置

B61D7/26 机械的

B61D7/28 液压的或气动的

B61D7/30 用车外的装置控制的

B61D7/32 用于帮助装料或卸料的装置

