Title: 车体结构部件（用于罐车的入B61D5/00；用于漏斗车的入B61D7/00；专门适用于倾 卸车的车体部件入B61D9/06；用于矿车的入B61D11/00）

Code: B61D17/00

========================================

B61D17/02 改变外形以减少空气阻力的

B61D17/04 用金属车体的；用混合物，如金属和木料制成的车体结构的

B61D17/06 端墙

B61D17/08 侧壁

B61D17/10 地板

B61D17/12 顶板（可活动的或可折叠的顶板、遮盖物或篷布入B61D39/00）

B61D17/14 有通道的

B61D17/16 舱口在顶板上的

B61D17/18 内部的衬垫，如绝热层

B61D17/20 客车之间的联系通道；为此目的客车车端部的匹配

B61D17/22 挠性的，如摺棚

B61D17/24 用木制车体结构的

B61D17/26 用混凝土制车体结构的

