Title: 生长作物的收获（A01D44/00优先；用于特种作物的脱粒机械、用于特 种作物的联合收割机的脱粒装置入A01F11/00）；蘑菇的收获入 A01G18/70）

Code: A01D45/00

========================================

A01D45/02 玉米的

A01D45/04 水稻的

A01D45/06 亚麻的

A01D45/10 甘蔗的

A01D45/16 烟草的

A01D45/22 菜豆的

A01D45/24 豌豆的

A01D45/26 卷心菜或莴苣的

A01D45/28 菠菜的

A01D45/30 草籽或此类种子的

