Title: 干草摊晒机，其耧齿相对于机械是活动的（组合有割草机的干草摊晒 机入A01D43/04）

Code: A01D78/00

========================================

A01D78/02 带耧齿杆或类似部件与绕水平轴旋转的转头相联结，例如滚筒式的

A01D78/04 带耧齿的部件其运动方向与机械行进的方向倾斜或成直角

A01D78/06 带耧齿的环形链或带

A01D78/08 带耧齿的转头或转轮

A01D78/10 耧齿围绕一个基本垂直的轴旋转

A01D78/12 耧齿作旋转运动时有附加运动

A01D78/14 耧齿围绕一个基本水平的轴旋转

A01D78/16 转头或转轮正向驱动的

A01D78/18 往复耧齿式的

A01D78/20 耧齿往复的方向平行于机械行进的方向

