Title: 收割机或割草机的输送装置

Code: A01D57/00

========================================

A01D57/01 将作物引导到收割装置的装置

A01D57/02 使用拨禾轮的

A01D57/03 与作物接触的部件，例如耧齿具有补充控制运动的

A01D57/04 改变拨禾轮位置的装置

A01D57/05 把割草机变换成收割机的可拆卸式拨禾轮

A01D57/06 使用循环式输送器的

A01D57/08 使用摇摆式耧耙的

A01D57/10 使用叶片的

A01D57/12 旋转式耧耙

A01D57/14 单台耧耙

A01D57/16 倾斜台

A01D57/18 堆垛装置，如带倾翻杆的

A01D57/20 带输送带的

A01D57/22 用于直立茎杆的

A01D57/24 集草板

A01D57/26 安装在切割器后面的用于导引割下牧草或禾杆的装置

A01D57/28 带齿的铺条附加装置

A01D57/30 用于铺条的旋转式附加装置

