Title: 带有离心轮、滚筒或抛掷器的挖掘机械

Code: A01D19/00

========================================

A01D19/02 收获工作部件绕与行进方向横向安装的水平轴旋转的

A01D19/04 收获工作部件绕与行进方向平行安装的水平轴旋转的

A01D19/06 带戽斗轮或滚筒的

A01D19/08 带戽斗齿链的

A01D19/10 带接收筛的；用于存放根茎作物的装置

A01D19/12 收获工作部件安装在近似垂直的轴上的

A01D19/14 带1个筛选轮的

A01D19/16 带若干个筛选轮的

A01D19/18 带筛齿链的

