Title: 在收割时与执行附加操作的设备联合的割草机（A01D37/00， A01D39/00，A01D41/00优先）

Code: A01D43/00

========================================

A01D43/02 带耧草机的

A01D43/04 带干草处理机的，例如翻晒机

A01D43/06 带割下材料的采集、收集或装载装置的

A01D43/063 在割草机所携带的箱体之内或之上；其箱体（A01D43/077优先）

A01D43/07 在挂车之内或之上（A01D43/077优先）

A01D43/073 带可控卸料出口的

A01D43/077 带输送收割作物的辅助装置，例如叶片的

A01D43/08 带收割作物的切碎装置的

A01D43/10 带收割作物的破碎或研碎装置的

A01D43/12 带整地机具的，例如犁

A01D43/14 带有例如用于肥料、除草剂或防腐剂的分配装置的

A01D43/16 带草坪修边器的

