Title: 联合收割机，即与脱粒装置联合的收割机或割草机

Code: A01D41/00

========================================

A01D41/02 自走式联合收割机

A01D41/04 拖拉机驱动联合收割机

A01D41/06 带收割台的联合收割机

A01D41/08 在切割禾秆前进行脱粒的联合收割机

A01D41/10 带铺条捡拾装置的田间脱粒机

A01D41/12 联合收割机的零件

A01D41/127 专用于联合收割机的控制和测量装置

A01D41/133 干燥装置

A01D41/14 割草台

A01D41/16 割草台与输送器的连接装置

