Title: 带筛和输送装置的挖掘机械

Code: A01D17/00

========================================

A01D17/02 输送器安装在筛选装置之上的

A01D17/04 输送器安装在筛选装置之下的

A01D17/06 带滚动筛或圆盘筛的

A01D17/08 带抖动式筛的

A01D17/10 带平滑输送带、板条带或刮板带的

A01D17/12 带斗式输送器的

A01D17/14 带滚动筛的

A01D17/16 带螺旋输送器的

A01D17/18 没有螺旋输送器的

A01D17/20 带几个联动筛的

A01D17/22 带几个联动筛带的

