Title: 制造卷曲的纤维、长丝、纱或线，给其以潜在特性（纱本身入D02G 3/00；化学长丝， 线及类似物的形成过程入D01D 5/22；化学处理的一般问题入D06M）

Code: D02G1/00

========================================

D02G1/02 采用加捻、定捻和解捻，即施加假捻

D02G1/04 施加假捻的装置

D02G1/06 锭

D02G1/08 罗拉

D02G1/10 采用刀刃，如加热刀刃，刀口卷曲法

D02G1/12 采用填塞箱法

D02G1/14 采用沟槽罗拉或齿轮型机构

D02G1/16 采用喷气或射流，如空气、蒸汽

D02G1/18 采用具有不同收缩特性的纤维、长丝或纱的混合方法

D02G1/20 采用上述两种或多种方法或装置的结合；卷曲定型后处理

