Title: 特殊用途的门、窗或类似闭合物；其周边结构

Code: E06B5/00

========================================

E06B5/01 活板门

E06B5/02 外围建筑或地下室用的；其他非用于密闭的简单闭合物

E06B5/04 有固定的木框

E06B5/06 有固定的金属框

E06B5/08 用混凝土、类似石材或塑料制成的固定框架

E06B5/10 用于防空袭或其他战争破坏的；用于其他防护用途的

E06B5/11 防止盗窃

E06B5/12 为了防气压，爆炸或气体用的门

E06B5/14 防毒气门或类似闭合装置；其固定构件

E06B5/16 防火门或类似闭合装置；及其适合的固定构件

E06B5/18 防御有害辐射的门（防热入E06B5/16）

E06B5/20 隔音用的

