Title: 其他粉碎装置或方法（用于谷物的入B02C9/00）

Code: B02C19/00

========================================

B02C19/06 喷射粉碎机

B02C19/08 研杵与研钵

B02C19/10 碾磨机，里面的摩擦块沿着圆筒状或环状部件的表面拖动

B02C19/11 高速滚筒碾磨机（用于分离的入B04B）

B02C19/16 带振动器的碾磨机（圆筒形磨粉机入B02C17/14）

B02C19/18 利用辅助物理效应的，例如，利用超声波，辐射进行粉碎

B02C19/20 用摩擦粉碎

B02C19/22 有螺旋形破碎装置的破碎机

