Title: 通过反蹬控制的制动器或其所用执行机构（专门适用于自行车的空转装置入 F16D41/00）

Code: B62L5/00

========================================

B62L5/02 通过共同作用的同轴圆锥控制的制动器

B62L5/04 制动器是涨闸衬套式的

B62L5/06 制动器是盘式的

B62L5/08 制动器是蹄式的

B62L5/10 通过共同作用的凸轮和球或滚子控制的制动器

B62L5/12 制动器是涨闸衬套式的

B62L5/14 制动器是盘式的

B62L5/16 制动器是蹄式的

B62L5/18 通过交替方法辅助控制的制动器

B62L5/20 具有可调制动力的制动器

