Title: 一般皂或皂液的制造；所用的设备（树脂皂入C11D15/00）

Code: C11D13/00

========================================

C11D13/02 蒸煮皂；精制

C11D13/04 所用的连续方法

C11D13/06 皂或皂液的漂白

C11D13/08 着色或加香

C11D13/10 混合；捏合

C11D13/12 冷却（C11D13/14优先）

C11D13/14 成型

C11D13/16 模型法

C11D13/18 挤压或压榨法

C11D13/20 小颗粒形状品，例如粉或薄片

C11D13/22 切削

C11D13/24 在冷却鼓上切皂

C11D13/26 干燥

C11D13/28 压花；磨光

C11D13/30 皂的回收，如从废液中回收

