Title: 专门适用于制造或处理本小类包括的有机器件

Code: H10K71/00

========================================

H10K71/10 有机有源材料的沉积

H10K71/12 利用液相沉积，例如，旋涂

H10K71/13 采用印刷技术的，例如，喷墨印刷，丝网印刷

H10K71/15 以使用的溶剂为特征的

H10K71/16 采用物理气相沉积[PVD]，例如，真空沉积或溅射

H10K71/18 采用非液相印刷技术，例如，来自施主片的热转印

H10K71/20 改变器件有源层的形状，例如，图形化

H10K71/30 掺杂有源层，例如，电子传输层

H10K71/40 热处理，例如，在溶剂蒸气中退火

H10K71/50 通过接合两块衬底在一起形成器件，例如，层压技术

H10K71/60 形成导电区或层，例如，电极

H10K71/70 测试，例如，加速寿命测试

H10K71/80 采用临时衬底

