Title: 稳定频率的机构

Code: G04B17/00

========================================

G04B17/02 由重力作用的摆动器，例如，在一个平面内摆动的摆

G04B17/04 由弹簧力作用的摆动器

G04B17/06 有游丝的摆动器，例如，摆轮

G04B17/08 有轴向伸出和不伸出的螺旋弹簧的摆动器

G04B17/10 具有扭簧或类似于扭簧作用的摆动器，例如，在水平面内摆动的重锤

G04B17/20 稳定频率机构的补偿

G04B17/22 温度变化影响的补偿（温度变化无影响的合金入C22C）

G04B17/24 大气压力变化影响的补偿

G04B17/26 冲击力变化影响的补偿

G04B17/28 重力不平衡影响的补偿，例如，钻削法

G04B17/30 转动调速器，例如，离心调速器、扇形调速器（用于敲打报时机构的入G04B21/06）

G04B17/32 组件或结构零件，例如，内桩、外桩

G04B17/34 将游丝固定在摆轮上的零件

