Title: 网屏印刷法；其所用网屏

Code: G03F5/00

========================================

G03F5/02 用投影方法（照相机入G03B）

G03F5/04 改变网屏作用

G03F5/06 改变光阑作用

G03F5/08 应用线条网屏

G03F5/10 应用十字线网屏

G03F5/12 应用其他网屏，例如，粒状网屏

G03F5/14 用接触方法

G03F5/16 应用灰色半色调网屏

G03F5/18 应用彩色半色调网屏

G03F5/20 网屏用于照相凹版印刷

G03F5/22 几个网屏组合；龟纹的消除

G03F5/24 用多次曝光；例如，照相和网屏的联合方法

