Title: 摄影术中的辅助工艺过程（按所用的设备区分的入G03D15/00）

Code: G03C11/00

========================================

G03C11/02 原文的标记或应用

G03C11/04 修饰

G03C11/06 上光；表面处理；糙面化；表面褪光；清洗；润滑；火陷阻滞处理

G03C11/08 涂漆，例如，在制作完毕的摄影图片上涂覆保护层

G03C11/10 防紫外线

G03C11/12 照片层的完整拆卸或搬动

G03C11/14 粘贴；放置

G03C11/16 干燥

G03C11/18 着色

G03C11/20 用粉末的或熔化的色材

G03C11/22 用非摄影工艺过程来制备用于制造摄影负片的底板或软片

G03C11/24 从废照相材料上除去乳剂，感光物质的回收

