Title: 空气的消毒、灭菌或除臭（用呼吸器净化空气入A62B，A62D9/00；废 气的化学或生物净化入B01D53/34；灭菌空调系统入F24F3/16、 F24F8/20）

Code: A61L9/00

========================================

A61L9/01 除臭组合物

A61L9/012 以特殊形态为特征的，例如凝胶，乳状液

A61L9/013 含动物或植物提取物，或植物材料

A61L9/014 含吸附剂，例如活性炭

A61L9/015 应用气态或气化物质，例如臭氧（A61L9/20优先）

A61L9/02 使用加热或燃烧时在空气中气化的物质

A61L9/03 其装置

A61L9/04 使用不加热时在空气中气化的物质

A61L9/05 专门适用于通过与液体接触来释放的,例如,用于卫生间

A61L9/12 其装置，例如储存器

A61L9/14 使用喷雾或雾化物质

A61L9/16 应用物理现象

A61L9/18 辐照（A61L9/22优先）

A61L9/20 紫外线辐照

A61L9/22 离子化

