Title: 近场传输系统，例如电感或电容传输系统

Code: H04B5/00

========================================

H04B5/20 以传输技术为特征的；以传输介质为特征的

H04B5/22 电容耦合

H04B5/24 电感耦合

H04B5/26 使用线圈

H04B5/28 使用泄漏电缆（例如泄漏同轴电缆）的近场

H04B5/40 以特别适用于近场传输的部件为特征的

H04B5/43 天线

H04B5/45 应答器

H04B5/48 收发器

H04B5/70 特别适用于特定目的

H04B5/72 用于本地设备内通信

H04B5/73 用于进行测量，例如使用感应线圈

H04B5/75 用于隔离目的

H04B5/77 用于查询

H04B5/79 用于数据传输与电力传输相结合的

