Title: 不包含在F01P1/00至F01P9/00组中或与上述各组无关的部件、零件或附件

Code: F01P11/00

========================================

F01P11/02 液体冷却剂的溢出、通风或排出装置（在冷冻时自动排出的入F01P11/20）

F01P11/04 液体的管道或软管装置

F01P11/06 清洗（一般的清洗入B08B）；抗腐蚀（一般的抗腐蚀入C23F）

F01P11/08 润滑剂冷却装置的配置（在润滑装置中的冷却装置入F01M）

F01P11/10 将冷却空气导向或输入液体—空气热交换器中或从热交换器中引出

F01P11/12 冷却空气的过滤、冷却或消音

F01P11/14 指示装置；其他安全装置

F01P11/16 关于冷却剂的温度（F01P11/20优先）

F01P11/18 关于冷却剂的压力、冷却剂的流量或液体冷却剂的液面高度

F01P11/20 关于大气的冰冻状态，例如在结霜天气时自动排出或加热

