Title: 不包含在F21W102/00-F21W107/00组中的用于发信号、作标志或指示的照明装置或系统 的使用或应用

Code: F21W111/00

========================================

F21W111/02 用于大道或小路

F21W111/023 用于步行道路

F21W111/027 用于指示路缘、台阶或楼梯

F21W111/04 用于航道

F21W111/043 用于灯塔或灯船

F21W111/047 用于浮标

F21W111/06 用于飞机跑道或类似道路

F21W111/08 用于操纵杆或栏杆

F21W111/10 个人用途，例如手提

