Title: 以问答方式工作的电操作的教具或设备

Code: G09B7/00

========================================

G09B7/02 对提出的问题要求学生构思答案或者学生提出问题由机器给予答案的形式

G09B7/04 能按错误答案来修改教学程序为特点的，例如重复提出问题或者给予进一步解释

G09B7/06 多个选择答案式，即对提出的一个问题给予一系列的答案，并从中选出一答案

G09B7/07 对多个学习（辅导）站提供各自问题的显示

G09B7/073 所有学习（辅导）站能够同时显示相同的问题

G09B7/077 各个学习（辅导）站能够同时显示不同的问题

G09B7/08 能按错误答案来修改教学程序为特点的，例如重复提出问题或者提供进一步信息

G09B7/10 其中一组答案通用于多个问题的

G09B7/12 能按错误答案来修改教学程序为特点的，例如重复提出问题或者给予进一步解释

