Title: 不包括在本小类的其他大组中的教具（瞄准射击的教学或实践器械入F41G3/26）

Code: G09B19/00

========================================

G09B19/02 计数、计算

G09B19/04 说话（对教材可听显示的入G09B5/04）

G09B19/06 外语（对教材可听显示的入G09B5/04）

G09B19/08 打字或写字用具，例如课本，两种语言文字的组合，图表

G09B19/10 制模型

G09B19/12 读时

G09B19/14 交通措施，例如交通规则

G09B19/16 车辆及其他航行器的控制

G09B19/18 会计学或经济学

G09B19/20 针线活

G09B19/22 游戏，例如纸牌游戏

G09B19/24 工具的使用

G09B19/26 点划电报代码

