Title: 不与某一特定子系统的控制相关联的道路车辆驾驶控制系统的驾驶参数的判断或计 算

Code: B60W40/00

========================================

B60W40/02 涉及周围的路况

B60W40/04 交通状况

B60W40/06 道路状况

B60W40/064 附着度

B60W40/068 路面摩擦系数

B60W40/072 道路曲率

B60W40/076 道路倾斜角

B60W40/08 涉及驾驶员或乘客的

B60W40/09 驾驶风格或习性

B60W40/10 涉及车辆的运动

B60W40/101 轮胎的侧滑角

B60W40/103 车体的侧滑角

B60W40/105 速度

B60W40/107 纵向加速度

B60W40/109 横向加速度

B60W40/11 俯仰运动

B60W40/112 横摇运动

B60W40/114 偏航运动

B60W40/12 涉及车辆自身的参数

B60W40/13 载荷或重量

