Title: 为了特殊目的在燃料和火焰中使用添加剂（借助黏合剂制备块状固体燃料的入 C10L5/10；使用添加剂改进固体燃料燃烧的入C10L9/10）

Code: C10L10/00

========================================

C10L10/02 为减少烟尘的形成

C10L10/04 为减少腐蚀或结壳作用的

C10L10/06 为易于除去烟灰的

C10L10/08 为提高润滑性；为降低磨损

C10L10/10 为提高辛烷值

C10L10/12 为提高十六烷值

C10L10/14 为提高低温性能

C10L10/16 倾点抑制剂

C10L10/18 为了不包括在C10L10/02至C10L10/16各小组的目的而使用的洗涤剂或分散剂

