Title: 火管型蒸汽锅炉，即废气从锅炉体外部的燃烧室流过装在锅炉体内的导管

Code: F22B9/00

========================================

F22B9/02 锅炉体是直置的，例如在燃烧室上面

F22B9/04 火管是直列的

F22B9/06 可返回烟气流的箱式联箱的排列

F22B9/08 火管是卧列的

F22B9/10 锅炉体基本上是卧置的，例如在燃烧室边上

F22B9/12 火管基本上是卧列的

F22B9/14 可返回烟气流的箱式联箱的排列

F22B9/16 锅炉体有向上倾斜交叉排列的火管

F22B9/18 其组成件；所用附件，例如拉杆螺栓连接件

