Title: 火箱型蒸汽锅炉，即燃烧室和随后的烟道或火管均布置在锅炉主体内的锅炉

Code: F22B13/00

========================================

F22B13/02 锅炉体直置装在固定位置上

F22B13/04 锅炉体基本上卧置装在固定位置上

F22B13/06 锅驼机、牵引机、蒸汽压路机或机车锅炉

F22B13/08 火箱内没有辅助水管的

F22B13/10 火箱内有辅助水管的

F22B13/12 辅助水管衬在火箱内

F22B13/14 其组成件；所用附件

F22B13/16 拉杆螺栓连接件，例如刚性连接件

F22B13/18 挠性连接件，例如球窝式

