Title: 炉管型蒸汽锅炉，即在锅炉体内部装有1个或多个炉管，燃料在炉管内进行燃烧

Code: F22B7/00

========================================

F22B7/02 不带有辅助水管的

F22B7/04 带有辅助水管的

F22B7/06 在炉管内部横向排列的

F22B7/08 在炉管内部纵向排列的

F22B7/10 在锅炉体外部的

F22B7/12 带有辅助火管的；装有使烟气流返回的箱式联箱

F22B7/14 辅助水管和辅助火管两者都有的

F22B7/16 其组成件；所用附件，例如拉杆螺栓连接件

F22B7/18 烟道壁；烟气箱式联箱

F22B7/20 炉管

