Title: 铣刀（用于铣齿的入B23F21/12）

Code: B23C5/00

========================================

B23C5/02 铣刀的形状特征

B23C5/04 平铣刀，即具有实际长度切削表面基本是圆柱形或圆锥形的（B23C5/10优先）

B23C5/06 端铣刀即仅有或主要有一个实际上是平的切削面

B23C5/08 盘型铣刀

B23C5/10 柄式铣刀，即整体杆的

B23C5/12 专门适用于加工特殊型面的铣刀（B23C5/10优先）

B23C5/14 基本由曲线组成的

B23C5/16 以铣刀物理而非形状方面的特征的

B23C5/18 有永久固定的刀片或刀齿

B23C5/20 有可拆卸的刀片或刀齿

B23C5/22 刀片或刀齿的紧固装置

B23C5/24 可调的

B23C5/26 铣刀在驱动主轴上的固定

B23C5/28 有关润滑或冷却的装置

