Title: 滑运道（作为贮存装置使用的入B65G 1/02）

Code: B65G11/00

========================================

B65G11/02 直线形的

B65G11/04 供建筑物内传送邮件用

B65G11/06 螺旋或螺线状的

B65G11/08 带有不连续引导表面，如排列成锯齿形或阶梯形的

B65G11/10 挠性的

B65G11/12 可绕枢轴转动的

B65G11/14 可伸展的，如伸缩的

B65G11/16 内部表面；衬里

B65G11/18 支承或安置架

B65G11/20 辅助装置，如用于致偏，控制物件或固体的速度，或搅动物件或固体

