Title: 润滑、清洁或清理装置

Code: B65G45/00

========================================

B65G45/02 润滑装置

B65G45/04 用于辊子

B65G45/06 形成皮带槽形结构

B65G45/08 用于链条

B65G45/10 清洁装置（用于清理皮带的辊子套筒配套件入B65G39/073）

B65G45/12 包含刮板

B65G45/14 运动刮板

B65G45/16 带刮板偏置装置

B65G45/18 包含刷件

B65G45/20 包含螺旋

B65G45/22 包含液体供给装置

B65G45/24 包含多个清洁装置

B65G45/26 用于收集清洁后残余物

