Title: 辊道（带辊道的贮存装置入B65G 1/02；带载荷支承辊的环形链式输送机入B65G 17/00；辊柱，或其配置入B65G 39/00）

Code: B65G13/00

========================================

B65G13/02 具有从动辊柱的

B65G13/04 全部辊柱为从动的

B65G13/06 辊柱驱动装置

B65G13/07 具有环形驱动元件

B65G13/071 带有摩擦接合

B65G13/073 包含自由轮传动装置

B65G13/075 制动装置

B65G13/08 弧形的；带有分支的

B65G13/10 转换装置

B65G13/11 辊柱框架

B65G13/12 可调整的

