Title: 鞋的材料特征

Code: A43B1/00

========================================

A43B1/02 由纤维或由纤维制成的织物制成

A43B1/023 动物纤维

A43B1/025 植物纤维

A43B1/028 合成纤维或人造纤维

A43B1/04 编制的、针织的、编结的或钩编的

A43B1/05 梭织的

A43B1/06 由木材、软木、纸板、纸或类似纤维材料制成的

A43B1/08 金属制成的

A43B1/10 橡胶制成的

A43B1/12 废橡胶制的鞋

A43B1/14 由塑料制成（A43B1/028优先）

